imdb_title_id,title,year,genre,duration,avg_vote
tt0120630,Galline in fuga,2000,"Animation, Adventure, Comedy",84,7
tt0120912,Men in Black II,2002,"Action, Adventure, Comedy",88,6.2
tt0126029,Shrek,2001,"Animation, Adventure, Comedy",90,7.8
tt0133063,Lightmaker,2001,Fantasy,89,7
tt0138749,La strada per El Dorado,2000,"Animation, Adventure, Comedy",89,6.9
tt0149367,Per amore dei soldi,2000,"Drama, Comedy, Crime",89,6.2
tt0154187,The Bacchae,2002,Drama,90,6.8
tt0155723,A Good Baby,2000,Drama,87,6.8
tt0155754,Il ricordo di un aprile,2000,"Drama, Family, War",90,6.3
tt0162942,A zöld sárkány gyermekei,2010,Drama,89,6.8
tt0163141,La parenthèse enchantée,2000,"Comedy, Romance",88,6
tt0165982,Sinbad - La leggenda dei sette mari,2003,"Animation, Adventure, Family",88,6.7
tt0166813,Spirit - Cavallo selvaggio,2002,"Animation, Adventure, Drama",83,7.1
tt0167116,Desert Saints,2002,"Action, Romance, Thriller",88,6
tt0170549,Savage Honeymoon,2000,Comedy,90,6.1
tt0173716,A morte Hollywood,2000,"Comedy, Crime, Thriller",87,6.3
tt0174732,AAA cercasi fidanzata disperatamente,2001,"Comedy, Romance",89,6.2
tt0175142,"Scary Movie - Senza paura, senza vergogna... senza cervello!",2000,Comedy,88,6.2
tt0175557,O Delfim,2002,Drama,88,6.5
tt0178043,Stranger Than Fiction - Un incubo senza fine,2000,"Thriller, Comedy",90,6.3
tt0183869,Taxxi 2,2000,"Action, Comedy, Crime",88,6.5
tt0184719,Maryam,2002,Drama,87,6.5
tt0192788,Where the Red Fern Grows,2003,"Drama, Family",86,6.4
tt0193701,Accelerator,2000,"Action, Comedy",86,6.3
tt0194218,Panic,2000,"Comedy, Crime, Drama",88,6.6
tt0194519,We Married Margo,2000,Comedy,85,6.7
tt0195001,Kanak Attack,2000,Drama,86,6.8
tt0196229,Zoolander,2001,Comedy,90,6.5
tt0197311,Boesman and Lena,2000,Drama,90,6.1
tt0197392,L'esercito degli angeli,2000,"Biography, Comedy",88,6.3
tt0199077,Preferisco il rumore del mare,2000,Drama,84,6.4
tt0201888,Rent a Friend,2000,"Comedy, Romance",90,6.9
tt0202256,DoppelPack,2000,Comedy,88,6.6
tt0203119,Sexy Beast - L'ultimo colpo della bestia,2000,"Crime, Drama, Thriller",89,7.3
tt0203620,Kimi ga wakamono nara,2000,"Action, Crime",89,6.7
tt0205738,AmnesiA,2001,"Drama, Comedy, Mystery",90,6.6
tt0206762,Friends and Family,2001,"Comedy, Crime",87,6.2
tt0208298,C'era una volta Gesù,2000,"Animation, Biography, Drama",90,6.9
tt0210943,La fidanzata ideale,2000,Comedy,87,6.5
tt0211718,Vengo - demone flamenco,2000,"Musical, Drama",90,7.4
tt0211919,Angst,2000,"Comedy, Romance",86,6.2
tt0211933,Awake - Anestesia cosciente,2007,"Crime, Drama, Mystery",84,6.5
tt0212132,The Tracker,2002,"Drama, History, Western",90,7.3
tt0212974,Groove,2000,"Drama, Music",86,6.6
tt0213561,Christie Malry's Own Double-Entry,2000,"Drama, Thriller",89,6.6
tt0214959,Le monde de Marty,2000,Drama,89,6.8
tt0215139,Russian Doll,2001,"Comedy, Drama, Romance",90,6
tt0215841,Hijack Stories,2000,"Crime, Drama",90,6.4
tt0216750,Furore cieco,2000,"Crime, Drama, Thriller",84,6.2
tt0217084,Examen,2003,Drama,90,7.7
tt0217119,Un affare di gusto,2000,"Crime, Thriller, Drama",90,6.8
tt0217824,Goodbye Charlie Bright,2001,Drama,87,6.3
tt0218839,Campioni di razza,2000,Comedy,90,7.4
tt0219405,Waydowntown,2000,Comedy,87,6.7
tt0220627,Maelström,2000,Drama,87,7
tt0220651,Morir (o no),2000,Drama,89,6.9
tt0221559,On the Edge,2001,Drama,85,7
tt0221837,Borderline Normal,2001,Drama,85,6.2
tt0223856,The Opponent,2000,"Drama, Sport",90,6.3
tt0225100,Asfalto,2000,Drama,90,6.1
tt0228239,3 Chinesen mit dem Kontrabass,2000,"Comedy, Crime, Thriller",88,6.6
tt0228277,Everything Put Together,2000,Drama,87,6.2
tt0230025,Bartleby,2001,"Comedy, Drama, Mystery",83,6.4
tt0230631,The Perfect Son,2000,Drama,89,6.4
tt0234374,Olivetti 82,2001,"Drama, Thriller",88,6.4
tt0234837,Suzhou River,2000,"Drama, Romance",83,7.4
tt0235108,À l'attaque!,2000,"Comedy, Drama",90,6.2
tt0235618,The Nine Lives of Tomas Katz,2000,"Comedy, Drama, Fantasy",87,7
tt0236598,Piao liang ma ma,2000,Drama,90,7
tt0237993,101 Reykjavík,2000,"Comedy, Romance",88,6.8
tt0238119,Chlopaki nie placza,2000,"Comedy, Crime",90,7.6
tt0239020,De grot,2001,"Romance, Thriller, Crime",90,6.4
tt0239695,Uneasy Riders,2000,"Comedy, Drama",90,6.8
tt0240156,Unshackled,2000,Drama,90,6.3
tt0240389,Brooklyn Babylon,2001,"Drama, Music, Romance",89,6
tt0240890,Serendipity - Quando l'amore è magia,2001,"Comedy, Romance",90,6.9
tt0241492,Going Off Big Time,2000,Thriller,86,6.2
tt0243135,Le battement d'ailes du papillon,2000,"Comedy, Drama, Romance",90,6.8
tt0243222,The Doe Boy,2001,"Drama, Romance",85,7
tt0243493,L'apparenza inganna,2001,Comedy,84,7
tt0243595,Kill Me Later,2001,"Crime, Drama, Thriller",89,6.3
tt0243794,El Bola,2000,Drama,88,7.2
tt0244624,Le avventure e gli amori di Lazaro De Tormes,2000,"Comedy, Drama",88,6
tt0245530,Omicidio in paradiso,2001,Comedy,89,6.5
tt0245910,Ftina tsigara,2000,"Comedy, Romance",85,7.5
tt0246037,Lift,2001,"Crime, Drama",85,6.2
tt0246158,Les portes de la gloire,2001,"Comedy, Drama",89,6.4
tt0246266,Lavagne,2000,"Drama, War",88,6.9
tt0246464,Big trouble - Una valigia piena di guai,2002,"Comedy, Crime, Thriller",85,6.5
tt0247905,76-89-03,2000,Comedy,85,7.2
tt0248093,Honolulu,2001,"Comedy, Drama, Romance",90,6.3
tt0248408,Der Schuh des Manitu,2001,"Comedy, Western",87,6.7
tt0248601,Vergiss Amerika,2000,"Drama, Romance",90,6.9
tt0248628,Alaska.de,2000,"Drama, Romance, Thriller",89,6.4
tt0248770,Drakarna över Helsingfors,2001,Drama,90,6.1
tt0248924,Jebiga,2000,Comedy,90,6.9
tt0249172,The Suicide Club,2000,Drama,89,6
tt0249542,Goebbels und Geduldig,2001,"Comedy, War, Drama",90,6
tt0249893,The Price of Milk,2000,"Comedy, Drama, Fantasy",87,6.7
tt0249947,Seitsemän laulua tundralta,2000,"Drama, History",90,6.4
tt0250081,Storytelling,2001,"Comedy, Drama, Romance",87,6.8
tt0250292,Cheats,2002,Comedy,86,6.1
tt0250625,Way Off Broadway,2001,Drama,87,6.5
tt0250638,PTU,2003,"Crime, Drama, Thriller",88,6.9
tt0250837,Der Überfall,2000,"Comedy, Crime, Drama",84,6.7
tt0251031,Contenders serie 7,2001,"Comedy, Thriller",86,6.5
tt0251736,La casa dei 1000 corpi,2003,Horror,89,6.1
tt0251797,Leo,2000,"Drama, Thriller",86,6.1
tt0253126,High Heels and Low Lifes,2001,"Action, Comedy, Drama",86,6.2
tt0253225,Mademoiselle,2001,"Comedy, Drama, Romance",85,6.5
tt0253586,Revolution #9,2001,Thriller,90,6.5
tt0253798,Out Cold,2001,"Comedy, Sport",89,6.4
tt0254199,CQ,2001,"Drama, Comedy, Sci-Fi",88,6.2
tt0254749,Sanam,2000,Drama,88,6.4
tt0255094,Il cerchio,2000,Drama,90,7.4
tt0255321,Liam,2000,Drama,90,6.9
tt0255589,L'isola,2000,"Drama, Thriller",90,7
tt0256627,Azzurro,2000,Drama,84,6.7
